,site,Latitude,Longitude,Diversity_index
site,1.0,-0.20164808268363615,0.07730169846814972,0.05032731910120752
Latitude,-0.20164808268363615,1.0,0.744320293795782,-0.014930663974266026
Longitude,0.07730169846814972,0.744320293795782,1.0,0.11949936401593403
Diversity_index,0.05032731910120752,-0.014930663974266026,0.11949936401593403,1.0
