,Month,Habitat_type_classLV2,HABITAT_CD,Year,Depth,SST,NPP,Depth_Sbrocco,Deepwater,FSA,Marina_slips_10km,Marina_slips_25km,Population_50km,Recreational_fishermen_50km,SG_permits_50km,SG_charter_permits_25km,Commercial_pounds_landed,impact,transformed_right_Diversity_index,transformed_right_Wave_exposure,transformed_Total_gravity,transformed_Tourist_fishing,transformed_Nursery_mangroves,transformed_Coral_area_UFRTM_20km,transformed_Pop_per_area_reef_20km,transformed_Reef_complexity,transformed_Coral_cover
0,8.0,0.0,8.0,-1.958154341202481,-0.21581443133165773,-0.18875395064660208,-0.008051434558859798,0.39434366494673834,-0.44498221833948365,-0.9154336671251586,-0.5861451409726149,-0.6784503001044404,-0.6214182922592667,-0.6352949406867818,0.5804342030831574,-0.9530347458366565,1.6367327206507953,-0.6785785049511399,-0.11785621771638044,1.3845891418267977,-0.6970532221146306,0.4835760311181175,0.48563849438908624,0.5247869281007306,-0.014200740931532913,-0.5600420137938219,-0.03883373328114233
1,6.0,7.0,18.0,-1.958154341202481,-0.36846957538328845,-0.21917020645625887,0.15961142785518112,0.9057778170237326,-0.4947838945040272,-0.5760241037830839,-0.5861451409726149,-0.40510784278082274,-0.6196834576775443,-0.614491311734649,1.223761653257517,1.6336309242035536,0.29213568196212464,0.05909247882295536,-0.9152669283769372,1.4810868710518685,-0.6560840398389728,0.4861179353354996,0.2475001023376441,0.5976360805645594,0.4333499923051725,1.092561183917413,0.49939368605130857
2,7.0,3.0,2.0,-1.958154341202481,0.9693891097030067,-0.2669905804859483,0.27250398055453456,0.777919279004484,-0.34910544251299946,-0.6660325668969347,-0.5861451409726149,-0.40510784278082274,-0.6193885830325763,-0.610696658385011,1.223761653257517,1.6336309242035536,0.29213568196212464,0.056659771607410384,-0.1961316611841415,1.4823541263650175,-0.3444069626710282,0.48619432528495443,0.20288152132025689,0.6567964419120207,0.42764436777124004,-0.14498159642428374,0.5919881318934447
3,8.0,3.0,8.0,-1.958154341202481,-0.3093925072315725,-0.25793621776401604,0.24172721851709295,0.777919279004484,-0.38618382820907415,-0.7486129488501461,-0.5861451409726149,-0.40510784278082274,-0.6191922248593825,-0.6094689764189516,1.223761653257517,1.6336309242035536,0.29213568196212464,0.052773489334931596,0.7625269865674129,1.4608117385457424,-0.3444069626710282,0.488073252330812,0.2096672535435663,0.6877002288454669,0.4244541515135988,-0.988028880738003,0.7287965116482886
4,6.0,3.0,8.0,-1.958154341202481,-0.409515998503615,-0.23814663277788195,0.17502330524466003,-0.11709048713025592,-0.5498557526258967,-0.8573842957482389,-0.5548145411096957,-0.40510784278082274,-0.6186078737322834,-0.6061430743654455,1.223761653257517,1.6336309242035536,0.29213568196212464,0.056004142992593826,0.5372263387583077,1.5584557977373035,-0.3444069626710282,0.48816755498268777,0.20837579128911762,0.7278604916585408,0.4228147412980213,-1.422136656597666,0.13350623525900301
5,7.0,7.0,19.0,-1.958154341202481,2.3895272118508903,-0.12548125238602398,-0.024121989103198394,0.010768050888992643,-0.7352476811062703,-1.0459023238817071,-0.5861451409726149,-0.40510784278082274,-0.6175430861126965,-0.5925046437970407,1.223761653257517,1.6336309242035536,0.29213568196212464,0.05909247882295536,0.5622336226753256,1.3269082143518114,-0.3444069626710282,0.48925735433091166,-2.0359448967788367,0.671079517461797,0.43588692760526354,0.4857571164809047,0.9989822406248978
6,7.0,3.0,19.0,-1.958154341202481,-0.38784745118440545,-0.049630089312779214,-0.02710259691528327,0.5222022029659869,-0.4820606040355584,-1.0997011241974204,-0.5097768038067494,-0.40510784278082274,-0.6167090699543888,-0.5898260649620021,1.465009447072902,1.6336309242035536,0.29213568196212464,0.05870995426276909,-1.9700837408054022,1.992020673936434,-0.31274408858519775,0.4902466473797501,0.4790388330533648,0.7854686224819952,0.4259858792631744,0.4279993045146972,1.1661888551850825
7,6.0,3.0,19.0,-1.958154341202481,1.4218018969168469,-0.016394516298148015,-0.08246995338052489,-0.6285246392072501,-0.6086541424967576,-1.1347370105209884,-0.5567727036011282,-0.40510784278082274,-0.6167104194950981,-0.5898260649620021,1.465009447072902,1.6336309242035536,0.29213568196212464,0.057998664225268046,0.24666356608146875,1.5978845102205728,-0.31274408858519775,0.4902466473797501,0.46377333906064355,0.7762410953115948,0.4269852917935952,0.5931350038758711,0.48515513942261507
8,6.0,0.0,19.0,-1.958154341202481,1.4473102713235781,-0.005713480923324831,-0.02196299316470584,0.26648512692748977,-0.512777366929822,-1.11822093411383,-0.42557581667515393,-0.40510784278082274,-0.6167083951840342,-0.5898260649620021,1.465009447072902,1.6336309242035536,0.29213568196212464,0.05909247882295536,0.44010285053384623,2.2501717932669596,-0.31274408858519775,-1.406400114164138,0.5185359509411088,0.8347023367324573,0.4207380320079516,0.9530135902416673,0.7200246562892504
9,7.0,3.0,18.0,-1.958154341202481,-0.2626034692816151,0.001117975700641969,-0.0031256123776392274,0.26648512692748977,-0.46034059960122353,-1.0880224920426076,-0.42557581667515393,-0.40510784278082274,-0.6167083951840342,-0.5898260649620021,1.465009447072902,1.6336309242035536,0.29213568196212464,0.058750330695995834,-0.3631679701538323,1.1172359699742633,-0.31274408858519775,-1.406400114164138,0.5278971231858516,0.8582137570331665,0.4181915652673645,0.022142455846470756,0.06637419996066153
10,7.0,2.0,9.0,-1.958154341202481,-0.8535569154874372,-0.17416914963154387,0.48742554325641463,0.777919279004484,0.207070342928121,-0.8467787247203598,-0.2375922174976386,-0.40510784278082274,-0.6167043465619065,-0.5898037434717102,1.465009447072902,1.6336309242035536,0.29213568196212464,0.05909247882295536,-1.4413994754227926,1.845089387928917,-0.31274408858519775,-1.406400114164138,0.6348223333056643,1.1016634815022308,0.3930251705198012,0.2934598538286238,0.7671498242552794
11,6.0,3.0,9.0,-1.958154341202481,-1.4245592624707752,-0.6962896759798459,3.7116900303097884,1.1614948930622297,2.3422583316679297,-0.3829117356711992,0.7121165908471004,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,1.6336309242035536,0.29213568196212464,0.04517390358475786,1.4614300165811462,2.206840582788081,-0.31274408858519775,-1.406400114164138,0.8022130195083806,1.7250669931963474,0.3300523308687897,0.6930677652399432,1.2331576455562914
12,6.0,3.0,9.0,-1.958154341202481,-1.3712057610194137,-0.6878859112542951,3.699508748334099,1.1614948930622297,2.320538146291073,-0.3760705472567334,0.6318319286983699,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,2.680614647791258,0.29213568196212464,0.04512216740236318,-0.5030962036729473,1.9839831709495943,-0.31274408858519775,-1.406400114164138,0.8031907043732434,1.7257670976708823,0.32997650598310224,0.5606863432626563,0.7070599807504911
13,6.0,7.0,2.0,-1.958154341202481,-0.5589340429646779,-0.056841209486246644,-0.18669339667780047,0.39434366494673834,-0.5498557526258967,-0.6334866223001545,-0.5861451409726149,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,1.6336309242035536,0.29213568196212464,0.05909247882295536,0.3855155013303382,1.1933977955504387,-0.5159862316041659,0.4902466473797501,0.5461836367471342,0.9970801091505099,0.40779043823375544,-0.3367242194087695,0.22807772926587308
14,6.0,3.0,9.0,-1.958154341202481,-1.2919623041806751,-0.5314666608030532,4.134896315456871,1.033636355042981,2.3946949176832226,-0.17235264874651762,0.08354643109728345,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,2.680614647791258,0.29213568196212464,0.022554630975420282,1.9096655426898235,2.188984993831353,-9.918839026396423,0.4902466473797501,0.8483277684765332,1.7433608254438546,0.3312584131728685,1.0664482235091755,0.5915847863616731
15,8.0,0.0,8.0,-1.958154341202481,-0.34046059453142863,-0.09376380058360455,-0.09881591926742843,0.6500607409852355,-0.44498221833948365,-0.4954475058122531,-0.5861451409726149,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,2.680614647791258,0.29213568196212464,0.05909247882295536,1.4111245268834964,1.1007907301818973,-0.5159862316041659,0.4902466473797501,0.5960807168795278,1.0364923860895625,0.40462964896119713,-1.917864886577355,-0.17668033707346012
16,8.0,0.0,2.0,-1.958154341202481,-0.8393664058833297,-0.07950429856673383,-0.20286679730642798,0.6500607409852355,-0.512777366929822,-0.5333170625301407,-0.5861451409726149,-0.395516879365959,-0.6167036717915519,-0.5898037434717102,1.465009447072902,2.680614647791258,0.29213568196212464,0.05909247882295536,0.900211057248266,1.0754942326049204,-0.5159862316041659,0.4902466473797501,0.5893111093960258,1.0186149441875931,0.4065659091023803,-1.1634548374002653,0.22939467983588774
